timestamp,symbol,exchange,price,volume,conviction_level,position_size_pct,conviction_reason,trend_strength,breakout_power,volume_surge,momentum_points,total_conviction
2025-08-21 14:57:12.160225,AAPL,SMART,225.58,98.0,1,20,"MINIMAL conviction: 35, trend: 90, vol: 0.0x",90,0,2.678429505483228e-06,20,35
2025-08-21 14:57:14.770576,MSFT,SMART,505.82,8.0,0,0,"No conviction: 5, trend: 70",70,0,7.654615262722997e-07,0,5
2025-08-21 14:57:17.714315,GOOGL,SMART,199.03,62.0,1,20,"MINIMAL conviction: 25, trend: 90, vol: 0.0x",90,0,2.985474726475741e-06,10,25
2025-08-21 14:57:21.451552,AMZN,SMART,224.0,51.0,0,0,"No conviction: 5, trend: 70",70,0,1.7773295221068986e-06,0,5
2025-08-21 14:57:25.235578,NVDA,SMART,175.7,1950.0,0,0,"No conviction: 20, trend: 80",80,0,1.769776589379756e-05,10,20
2025-08-21 14:57:28.966303,TSLA,SMART,323.86,934.0,0,0,"No conviction: 10, trend: 80",80,0,1.5226614119523524e-05,0,10
2025-08-21 14:57:32.695712,META,SMART,747.25,18.0,0,0,"No conviction: 5, trend: 70",70,0,2.764479097497096e-06,0,5
2025-08-21 14:57:38.849453,UNH,SMART,300.0,108.0,0,0,Weak trend: 45,45,0,0.0,0,0
2025-08-21 14:57:42.671777,JNJ,SMART,180.42,3.0,2,25,"LOW conviction: 45, trend: 100, vol: 0.0x",100,0,7.493468318340319e-07,25,45
2025-08-21 14:57:46.626660,JPM,SMART,292.24,0.0,0,0,"No conviction: 5, trend: 70",70,0,0.0,0,5
2025-08-21 14:57:50.399686,V,SMART,343.93,0.0,0,0,Weak trend: 30,30,0,0.0,0,0
2025-08-21 14:57:54.221743,PG,SMART,159.51,0.0,0,0,Weak trend: 45,45,0,0.0,0,0
2025-08-21 14:57:57.990999,XOM,SMART,108.45,1.0,0,0,Weak trend: 40,40,0,0.0,0,0
2025-08-21 14:58:01.777766,HD,SMART,401.74,0.0,1,20,"MINIMAL conviction: 35, trend: 90, vol: 0.0x",90,0,0.0,20,35
